year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
2013,ALB,CYM,,0,0,0,9502.166,9502.166,9510.593,9510.452,0,0,,,58369.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CYP,2144462.0,0,0,0,1366.294,1366.294,1363.566,1362.042,0,0,19094028254.5,22152.4124729,1141652.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CZE,38610787.0,0,0,0,1060.922,1060.922,1037.847,1029.982,1,0,1.54008135273e+11,14647.5319712,10514272.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,DJI,,0,0,0,4015.761,4015.761,4002.985,4002.412,0,0,1032256019.99,1193.97518257,864554.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,DNK,4604447.0,0,0,0,1679.912,1679.912,1744.193,1740.47,0,0,2.6513647051e+11,47219.8898419,5614932.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,DZA,8001318.0,0,0,0,1533.738,1533.738,1550.225,1511.83,0,0,1.27190459398e+11,3330.80211962,38186135.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ECU,15659731.0,0,0,0,10728.15,10728.15,10900.37,10898.8,0,0,58238429057.6,3718.61751159,15661312.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,EGY,24666096.0,0,0,0,1623.328,1623.328,1599.466,1586.741,0,0,1.28583201068e+11,1467.61173581,87613909.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,EST,377164.0,0,0,0,2041.537,2041.537,2039.758,2037.053,0,0,15890063424.9,12056.2212395,1317997.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ETH,388824.0,0,0,0,4050.716,4050.716,4007.51,4000.246,1,0,27738863571.7,293.351740288,94558374.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,FIN,5268060.0,0,0,0,2122.475,2122.475,2256.391,2244.577,0,0,2.1243265763e+11,39057.5016069,5438972.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GAB,217241.0,0,0,0,4676.458,4676.458,4697.156,4694.76,0,0,11806367779.9,7153.85259251,1650351.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GEO,54743.0,0,0,0,2076.242,2076.242,1991.544,1983.989,0,0,9692010303.74,2159.9238509,4487200.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,GHA,27027.0,0,0,0,4453.75,4453.75,4373.962,4368.601,0,0,19682365238.6,752.25654578,26164432.0,11346755234.8,3916.23123721,2897366.0
